time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.1966102177088554e-05,1.0010624625795301e-05,10.002121261368437,0.0024396035406955008,0.0035800930832516897,0.0,-0.0007294389567505817,0.0005898910199899255,0.07070572508680609,-0.018352008354300276,0.019561795571084215,0.0,426.3822393205766,428.0498022748594,428.57356140300845,427.0112405488195
0.12000000000000001,-0.00013166230655012155,9.595736057868237e-05,10.008695910358197,0.0026970334879576896,0.004742057235109343,0.0,-0.0033761217451982527,0.002314256425144403,0.14844111072429464,-0.03237654106285241,0.018537589528549284,0.0,429.9202884751903,429.8334855563297,430.29838298089237,429.1096341753616
0.18,-0.0004579997036315319,0.0003461484787108426,10.024524731145721,0.011980538661309659,0.006200995786102226,0.0,-0.007688044709799813,0.0071984486125411746,0.3791296950247637,-0.07029969580705833,0.01077690802356599,0.0,477.0266947867829,476.43369978886307,477.9534881459676,475.05379221798023
0.23999999999999996,-0.0010528553013128203,0.0010143439339265947,10.050624983720839,0.00792069657146044,0.007116600280907548,0.0,-0.012230430746626846,0.014659004729214584,0.4908405533582152,-0.07601874509264193,0.015383685914734626,0.0,441.24280032450326,441.62276945250284,440.3789105064665,439.9015807250591
0.3,-0.0019417113134663168,0.0020552883204734414,10.08338761398766,0.00702658901217923,0.008470076557297368,0.0,-0.017546664264383692,0.019925787202991423,0.6011946601947952,-0.05620767027322079,0.006897061941188636,0.0,441.1984870727271,440.4972412075799,439.2445843347331,440.88047656426653
0.36000000000000004,-0.0032491930092759824,0.003422356691111292,10.127682501084104,0.00467304748301256,0.01632738880079021,0.0,-0.02700159846755765,0.025357072129086604,0.8751234376324432,-0.06853056887358654,0.03560786988706671,0.0,488.5146454922702,490.6504691408163,489.7044621382299,488.7848686906031
0.4200000000000001,-0.005196766547226798,0.005023297791819173,10.182082070302977,0.0015638241054212187,0.018663054699534776,0.0,-0.0381384896574476,0.027697778642514603,0.9381427740738106,-0.05869673326250872,0.039441931453230196,0.0,425.5533447893005,425.8820635864969,425.5249646953279,426.3624953221368
0.48000000000000015,-0.00795648054029174,0.006708644348350859,10.244020571129347,6.281618787457134,0.0266453120414889,0.0,-0.05479837267480548,0.028129497791980675,1.126286812577098,-0.06685526140279824,0.012254692424590636,0.0,465.99914745270627,463.86965831972043,465.3479179597003,464.7063973341492
0.5400000000000001,-0.011839713823127982,0.00835544323178385,10.315028635786199,6.279342861303222,0.03563936949761537,0.0,-0.07554432775876006,0.026543589382156434,1.240503337178917,-0.08253630125681846,0.042558468549567664,0.0,442.22811675411106,444.71708826040833,442.7032975649982,441.40721087249335
0.6000000000000002,-0.017054706073154183,0.009862035031588879,10.390579245698913,6.275187991898273,0.03947939890239027,0.0,-0.0986330775111998,0.023301451066432773,1.2777935079262845,-0.09359170773830494,0.053841123923552364,0.0,417.11193236930285,418.09742741954636,419.3648872887178,418.39694033310616
0.6600000000000003,-0.023977276997151138,0.011035596689302025,10.474487713520741,6.269623263204579,0.04381043366689141,0.0,-0.13265584438420053,0.015141221942904431,1.5188358299316826,-0.0975371711212588,0.04108625070392773,0.0,481.2041670465719,480.2391120979805,482.1948149548154,481.88981041868533
0.7200000000000003,-0.03282010335964933,0.011656802628514493,10.567594424835764,6.263811124418018,0.049628512137311454,0.0,-0.16268613353708242,0.005007626586488271,1.5845942201107968,-0.10123830179837315,0.019791583327149084,0.0,429.0417659341075,427.23067763093815,428.95047214434675,428.62730020332333
0.7800000000000004,-0.04353530147435347,0.011572313220856514,10.66379470132648,6.257744278219903,0.05515141346021313,0.0,-0.1950196200102667,-0.008382226831225985,1.6219863687219374,-0.10396729353667011,-0.004248937428298152,0.0,419.95594189708305,417.86557223058804,420.0792946607754,419.8328838468358
0.8400000000000004,-0.056230025391243416,0.010597182487708516,10.76123439835797,6.251657251849274,0.05820265813669501,0.0,-0.22842513360078784,-0.02465077776442847,1.625963522095359,-0.10959098488359426,-0.025403439810977913,0.0,410.065769553355,408.18246528812307,407.9258248091437,407.41244626586547
0.9000000000000005,-0.07093352209178012,0.008557264581835516,10.858256360577133,6.245070100838365,0.05768391690962549,0.0,-0.26166122624254634,-0.04390300239511052,1.6081070499974786,-0.11098839585864918,-0.037653294254696254,0.0,401.19841581744487,400.0843406099185,401.34739737893665,401.2084204924099
0.9600000000000005,-0.08775879136155926,0.005151730890382889,10.956680050356688,6.238403957143223,0.055420034683755226,0.0,-0.29896114841401944,-0.07025434738797262,1.6725724138736826,-0.11297711998148391,-0.039790691463390475,0.0,427.8138427201772,427.6310457102898,429.58955290078524,429.40936699347867
1.0200000000000005,-0.10684103523660929,0.00013639557988031324,11.059366904841164,6.263170497884392,0.06367227974911405,0.0,-0.3379600802431902,-0.09440742014630353,1.7502407756437708,-0.17571546373719898,-0.07674295517855984,0.0,435.0877251856961,431.98117157021073,435.28373272753805,429.984304660325
1.0800000000000005,-0.12828800569927878,-0.005926360987321414,11.165271530999991,6.255626079936331,0.059138237915720815,0.0,-0.3765230493097369,-0.10839087482437149,1.7798738660448157,-0.15790967192962857,-0.07479614434450528,0.0,417.82160674480133,417.98631849984287,416.48691412570287,418.01158749593066
1.1400000000000006,-0.1520838764822149,-0.01302240429213408,11.274612393926228,6.246139550491833,0.059907346852644316,0.0,-0.4167713585757948,-0.12908441517007319,1.864644270361666,-0.15920368340773114,-0.10114157513869636,0.0,436.92340788724835,434.71562921359964,435.683373995722,435.5508365829888
